vid_name,bandwidth,Encoding,Avg Frame Rate,Stall,Avg Sampling Rate
DivingF,bw235,FoVOnly,4 , 321.78, 67.36
DivingF,bw235,FoV+QL1,  2, 723.02, 91.42
DivingF,bw235,CoRE, 14.16, 65.2 ,  45.04
DivingF,bw646,FoVOnly,16.8 , 44, 67.36
DivingF,bw646,FoV+QL1,10.83 , 99, 91.42
DivingF,bw646,CoRE, 24.49,  1.08, 49.75
DivingF,bw1932,FoVOnly, 27.4, 5.3, 67.36
DivingF,bw1932,FoV+QL1, 13.125,72, 91.42
DivingF,bw1932,CoRE, 29.97,0 ,46.58
DivingF,bw2100,FoVOnly, 28, 2.6 , 67.36
DivingF,bw2100,FoV+QL1, 7.71 , 172.82,  91.42
DivingF,bw2100,CoRE, 30, 0,  46.91